grid_position,quali_position,round,year,driver_points_before,driver_position_before,driver_wins_before,driver_age,driver_nationality,constructor_nationality,constructor_position_before,driver_historical_dnf_rate,pit_stops,podium
4.0,4.0,1,2007,18.0,2.0,0.0,22.205479452054796,British,British,8.0,0.0,2.0,1
4.0,4.0,2,2007,6.0,3.0,0.0,22.263013698630136,British,British,11.0,0.0,2.0,1
2.0,2.0,3,2007,98.0,1.0,0.0,22.28219178082192,British,British,2.0,0.0,2.0,1
4.0,4.0,4,2007,14.0,3.0,0.0,22.35890410958904,British,British,11.0,0.0,2.0,1
2.0,2.0,5,2007,30.0,1.0,0.0,22.397260273972602,British,British,11.0,0.0,2.0,1
1.0,1.0,6,2007,38.0,2.0,0.0,22.435616438356163,British,British,11.0,0.0,2.0,1
1.0,1.0,7,2007,48.0,1.0,1.0,22.454794520547946,British,British,11.0,0.0,2.0,1
2.0,2.0,8,2007,58.0,1.0,2.0,22.493150684931507,British,British,11.0,0.0,3.0,1
1.0,1.0,9,2007,64.0,1.0,2.0,22.512328767123286,British,British,11.0,0.0,2.0,1
10.0,10.0,10,2007,70.0,1.0,2.0,22.55068493150685,British,British,11.0,0.0,4.0,0
1.0,2.0,11,2007,70.0,1.0,2.0,22.589041095890412,British,British,11.0,0.1,2.0,1
2.0,2.0,12,2007,80.0,1.0,3.0,22.646575342465752,British,British,11.0,0.09090909090909091,2.0,0
2.0,2.0,13,2007,84.0,1.0,3.0,22.684931506849313,British,British,11.0,0.08333333333333333,2.0,1
4.0,4.0,14,2007,92.0,1.0,3.0,22.704109589041096,British,British,11.0,0.07692307692307693,2.0,0
1.0,1.0,15,2007,97.0,1.0,3.0,22.742465753424657,British,British,11.0,0.07142857142857142,1.0,1
1.0,1.0,16,2007,107.0,1.0,4.0,22.76164383561644,British,British,11.0,0.06666666666666667,1.0,0
2.0,2.0,17,2007,107.0,1.0,4.0,22.8,British,British,11.0,0.125,3.0,0
1.0,1.0,1,2008,0.0,0.0,4.0,23.202739726027396,British,British,0.0,0.17647058823529413,2.0,1
9.0,4.0,2,2008,10.0,1.0,5.0,23.221917808219178,British,British,1.0,0.16666666666666666,2.0,0
3.0,3.0,3,2008,14.0,1.0,5.0,23.26027397260274,British,British,1.0,0.15789473684210525,2.0,0
5.0,5.0,4,2008,14.0,3.0,5.0,23.317808219178083,British,British,3.0,0.2,2.0,1
3.0,3.0,5,2008,20.0,2.0,5.0,23.356164383561644,British,British,3.0,0.19047619047619047,3.0,1
3.0,3.0,6,2008,28.0,3.0,5.0,23.394520547945206,British,British,3.0,0.18181818181818182,2.0,1
1.0,1.0,7,2008,38.0,1.0,6.0,23.432876712328767,British,British,2.0,0.17391304347826086,1.0,0
13.0,3.0,8,2008,38.0,2.0,6.0,23.471232876712328,British,British,3.0,0.20833333333333334,3.0,0
4.0,4.0,9,2008,38.0,4.0,6.0,23.50958904109589,British,British,3.0,0.2,2.0,1
1.0,1.0,10,2008,48.0,1.0,7.0,23.54794520547945,British,British,3.0,0.19230769230769232,1.0,1
1.0,1.0,11,2008,58.0,1.0,8.0,23.586301369863012,British,British,3.0,0.18518518518518517,2.0,0
2.0,2.0,12,2008,62.0,1.0,8.0,23.643835616438356,British,British,2.0,0.17857142857142858,2.0,1
